Station,utm_e,utm_n,height,utm_z
387,370431.71256,5029082.22640,0,ON-9
388,370433.99795,5029080.91647,0,ON-9
389,370432.22981,5029082.10534,0,ON-9
390,370432.71590,5029081.23852,0,ON-9
391,370431.76011,5029081.79645,0,ON-9
392,370431.64766,5029083.03455,0,ON-9
393,370432.38145,5029082.22640,0,ON-9
394,370435.10004,5029083.34503,0,ON-9
395,370431.71256,5029082.89529,0,ON-9
396,370431.96543,5029082.68320,0,ON-9
397,370433.05035,5029080.88860,0,ON-9
398,370431.96543,5029081.55750,0,ON-9
399,370432.38145,5029082.89529,0,ON-9
400,370431.71256,5029082.22640,0,ON-9
401,370433.71924,5029083.56419,0,ON-9
402,370433.17525,5029081.70020,0,ON-9
403,370519.10781,5026482.64774,0,ON-9
404,370324.74060,5026251.32317,0,ON-9
405,370313.89757,5026238.22257,0,ON-9
406,370401.23354,5027426.60141,0,ON-9
407,370395.43956,5028847.36655,0,ON-9
408,370703.38877,5030210.31933,0,ON-9
409,370707.41626,5030223.18038,0,ON-9
410,370704.15052,5030219.14876,0,ON-9
411,370353.88678,5027851.90081,0,ON-9
412,370354.68631,5027861.23810,0,ON-9
413,370426.59869,5027265.75978,0,ON-9
414,370882.78993,5030539.49149,0,ON-9
415,370413.80651,5029182.82192,0,ON-9
416,370419.00353,5029161.15616,0,ON-9
417,370623.21064,5033374.21667,0,ON-9
418,370621.58248,5033374.62367,0,ON-9
419,374194.22829,5032623.59625,0,ON-9
420,372810.06656,5033048.54810,0,ON-9
421,367087.94882,5020460.45178,0,ON-9
422,366410.70884,5020017.15120,0,ON-9
423,361267.76892,5026282.13875,0,ON-9
424,363769.83150,5025177.70458,0,ON-9
425,382919.02612,5037525.32930,0,ON-9
426,383352.39345,5037568.22490,0,ON-9
427,383352.72790,5037568.93496,0,ON-9
428,383028.12185,5037480.76665,0,ON-9
429,382974.87114,5037502.63575,0,ON-9
430,375698.08435,5020812.82040,0,ON-9
431,375696.22139,5020814.50830,0,ON-9
432,375697.86692,5020815.05959,0,ON-9
433,375697.74990,5020813.72599,0,ON-9
434,375696.85605,5020814.60662,0,ON-9
435,375697.27200,5020812.77245,0,ON-9
436,375698.69665,5020813.25261,0,ON-9
437,375698.08435,5020812.82040,0,ON-9
438,375696.07766,5020814.15820,0,ON-9
439,370246.62700,5025799.81300,0,ON-9
440,370230.44300,5025835.60300,0,ON-9
441,361485.51560,5026521.36780,0,ON-9
442,353352.67890,5015619.48880,0,ON-9
443,378310.80275,5030274.77939,0,ON-9
444,381251.10845,5022942.83600,0,ON-9
445,380169.18053,5025655.66756,0,ON-9
446,376281.07555,5031842.90169,0,ON-9
447,376280.20562,5031840.22521,0,ON-9
448,376281.48861,5031840.92953,0,ON-9
449,376282.01702,5031842.52084,0,ON-9
450,376281.07555,5031842.23280,0,ON-9
451,376279.73776,5031840.89500,0,ON-9
452,376279.84725,5031840.89351,0,ON-9
453,376281.21900,5031841.80285,0,ON-9
454,376280.19465,5031841.56390,0,ON-9
455,376280.74110,5031841.18867,0,ON-9
456,376282.17479,5031841.80285,0,ON-9
457,380472.27316,5024908.12937,0,ON-9
458,379029.29816,5028507.38409,0,ON-9
459,379030.09185,5028507.86330,0,ON-9
460,377667.74810,5031526.97267,0,ON-9
461,377745.20019,5031508.74732,0,ON-9
462,378769.48164,5029160.35299,0,ON-9
463,379012.32723,5028555.90650,0,ON-9
464,378606.28068,5029559.83176,0,ON-9
465,380336.95663,5025244.01873,0,ON-9
466,380377.31196,5025132.03987,0,ON-9
467,380319.52484,5025281.31893,0,ON-9
468,376774.72103,5031611.46357,0,ON-9
469,377490.40771,5031576.64935,0,ON-9
470,376667.62822,5031603.84375,0,ON-9
471,379786.81391,5026610.69980,0,ON-9
472,379937.96023,5026234.61794,0,ON-9
473,377927.26484,5031135.82727,0,ON-9
474,377886.06560,5031228.66306,0,ON-9
475,377767.29714,5031502.43390,0,ON-9
476,377768.08255,5031503.56130,0,ON-9
477,377768.49857,5031503.93653,0,ON-9
478,377766.74476,5031503.56130,0,ON-9
479,366360.36785,5030007.91459,0,ON-9
480,366360.67691,5030006.85998,0,ON-9
481,366360.36785,5030006.57680,0,ON-9
482,364934.61700,5012032.69100,0,ON-9
483,383042.92660,5036153.77449,0,ON-9
484,361655.01662,5013934.78675,0,ON-9
485,368787.11992,5009762.62899,0,ON-9
486,365198.17540,5027892.79165,0,ON-9
487,365197.69750,5027891.35796,0,ON-9
488,367063.68763,5022053.09933,0,ON-9
489,366769.17016,5021541.13348,0,ON-9
490,384866.47890,5039358.57700,0,ON-9
491,369646.94740,5009133.88804,0,ON-9
492,369646.68035,5009135.39180,0,ON-9
493,372436.71698,5024313.08927,0,ON-9
494,374363.73576,5011410.09020,0,ON-9
495,376240.08965,5012602.75770,0,ON-9
496,374698.08876,5033713.13105,0,ON-9
497,374956.73454,5033815.25330,0,ON-9
498,374929.06885,5032231.89929,0,ON-9
499,384776.73902,5035181.94233,0,ON-9
500,384775.75716,5035179.37716,0,ON-9
501,384967.93875,5035746.36090,0,ON-9
502,384754.95881,5035223.72797,0,ON-9
503,385293.12324,5035837.64294,0,ON-9
504,357685.65354,5019639.13821,0,ON-9
505,372876.18316,5028056.35251,0,ON-9
506,372782.73334,5028923.54220,0,ON-9
507,372865.19923,5028178.15295,0,ON-9
508,367939.35410,5014186.17770,0,ON-9
509,375400.26123,5021518.54882,0,ON-9
510,375400.00223,5021520.61310,0,ON-9
511,368185.04525,5030484.90410,0,ON-9
512,368186.38304,5030485.57300,0,ON-9
513,368185.59635,5030485.34778,0,ON-9
514,368185.71414,5030484.90410,0,ON-9
515,368515.00341,5030647.63766,0,ON-9
516,368374.71431,5030599.67558,0,ON-9
517,368223.94527,5030509.11368,0,ON-9
518,368509.05236,5030646.25944,0,ON-9
519,368509.77732,5030645.35125,0,ON-9
520,368338.11230,5030579.17477,0,ON-9
521,368336.71376,5030579.90979,0,ON-9
522,368006.36935,5030344.90060,0,ON-9
523,368005.70046,5030344.23171,0,ON-9
524,366831.03186,5029702.89860,0,ON-9
525,367222.19990,5029867.56340,0,ON-9
526,367222.37495,5029868.90119,0,ON-9
527,367223.04385,5029866.22561,0,ON-9
528,367222.87555,5029868.21153,0,ON-9
529,367223.45987,5029868.68910,0,ON-9
530,367222.37495,5029866.22561,0,ON-9
531,367869.34746,5030257.88998,0,ON-9
532,367867.63855,5030257.83874,0,ON-9
533,367868.70950,5030258.11745,0,ON-9
534,367868.37505,5030258.23990,0,ON-9
535,367871.17864,5030255.10186,0,ON-9
536,367867.18099,5030258.59000,0,ON-9
537,367869.04395,5030255.56431,0,ON-9
538,367106.77400,5029818.80970,0,ON-9
539,366836.70526,5029705.57520,0,ON-9
540,367964.08085,5030319.33999,0,ON-9
541,365039.36655,5017137.45440,0,ON-9
542,365685.55871,5030021.27106,0,ON-9
543,365582.94363,5029876.43860,0,ON-9
544,365407.69181,5029608.72841,0,ON-9
545,365568.54617,5029853.65897,0,ON-9
546,365545.94716,5029819.16939,0,ON-9
547,366596.37695,5025576.19790,0,ON-9
548,366369.92573,5025670.93601,0,ON-9
549,386567.56916,5036419.91216,0,ON-9
550,366831.37394,5030390.89510,0,ON-9
551,366830.17507,5030391.32731,0,ON-9
552,366829.70170,5030391.34825,0,ON-9
553,365993.19152,5027598.58436,0,ON-9
554,361501.13238,5022089.50754,0,ON-9
555,339964.54513,5003788.02208,0,ON-9
556,339956.86023,5003795.44721,0,ON-9
557,339605.46965,5004208.07735,0,ON-9
558,339664.52352,5004135.33161,0,ON-9
559,346784.70390,4995903.74278,0,ON-9
560,344722.47247,4998280.18392,0,ON-9
561,341523.59063,5001995.73450,0,ON-9
562,364688.17737,5023631.79134,0,ON-9
563,356078.94870,5015414.18680,0,ON-9
564,356098.57840,5015425.97180,0,ON-9
565,360661.34855,5025600.53789,0,ON-9
566,360729.24240,5025529.61325,0,ON-9
567,360729.67390,5025529.76907,0,ON-9
568,365631.27366,5023532.07265,0,ON-9
569,349861.88550,5016161.08690,0,ON-9
570,384686.03180,5034232.31600,0,ON-9
571,366342.69620,5016245.97936,0,ON-9
572,352651.39810,5015239.66190,0,ON-9
573,352651.39810,5015239.66190,0,ON-9
574,363326.04876,5028732.99745,0,ON-9
575,363469.40856,5028408.77978,0,ON-9
576,363445.16879,5028460.72730,0,ON-9
577,363400.19838,5028562.02907,0,ON-9
578,362836.55807,5028741.54028,0,ON-9
579,384166.17190,5034563.42850,0,ON-9
580,373996.76758,5028236.16685,0,ON-9
581,369013.14345,5032715.92071,0,ON-9
582,369011.85321,5032716.54165,0,ON-9
583,367145.25975,5021590.04065,0,ON-9
584,349476.03160,5017517.30856,0,ON-9
585,349420.90073,5017465.23355,0,ON-9
586,371588.92776,5034952.25562,0,ON-9
587,371806.04730,5035382.25373,0,ON-9
588,371575.89331,5035524.44084,0,ON-9
589,371195.65293,5032218.10152,0,ON-9
590,371495.38355,5031312.89410,0,ON-9
591,371947.47085,5031139.07279,0,ON-9
592,369113.05624,5029041.77400,0,ON-9
593,372130.88045,5031320.90116,0,ON-9
594,371682.80138,5035492.32327,0,ON-9
595,372148.38884,5034108.58280,0,ON-9
596,372146.38215,5034109.92059,0,ON-9
597,372147.05105,5034108.58280,0,ON-9
598,372146.38215,5034108.58280,0,ON-9
599,372146.89137,5034108.63738,0,ON-9
600,372147.23002,5034108.88807,0,ON-9
601,372146.86472,5034108.68859,0,ON-9
602,372148.38884,5034107.91390,0,ON-9
603,372147.18997,5034108.34611,0,ON-9
604,372146.71660,5034107.87274,0,ON-9
605,372148.35594,5034107.48990,0,ON-9
606,372145.21566,5034110.45897,0,ON-9
607,372147.05105,5034108.58280,0,ON-9
608,372147.24776,5034108.25957,0,ON-9
609,372147.05105,5034109.25170,0,ON-9
610,372147.05105,5034109.25170,0,ON-9
611,372146.43417,5034108.19392,0,ON-9
612,372146.71670,5034108.58278,0,ON-9
613,372146.37591,5034108.62269,0,ON-9
614,372147.24827,5034108.55794,0,ON-9
615,372147.19450,5034107.38806,0,ON-9
616,373110.71420,5032375.50685,0,ON-9
617,373109.85120,5032375.93835,0,ON-9
618,373111.19210,5032376.34665,0,ON-9
619,373110.49222,5032376.80758,0,ON-9
620,373110.64496,5032376.72674,0,ON-9
621,373111.18757,5032376.82229,0,ON-9
622,373109.71086,5032377.25450,0,ON-9
623,373110.71420,5032374.86886,0,ON-9
624,373110.37975,5032377.25450,0,ON-9
625,373110.71411,5032376.58560,0,ON-9
626,373111.89514,5032375.55080,0,ON-9
627,373110.71418,5032376.58545,0,ON-9
628,373109.68127,5032376.76488,0,ON-9
629,372662.01629,5032900.00015,0,ON-9
630,372471.90241,5033215.16810,0,ON-9
631,372507.25075,5033235.34797,0,ON-9
